Rainbow,Rainbow coordinates,Rent a center ,Rent a center coordinates,Cricket ,Cricket Coordinates,Total wireless,Total wireless coordinates,Metro PCs ,Metro PCs coordinates,BOOST ,Boost cooridnates,
"1295 Broadway, Brooklyn, NY 11221, United States","40.690917, -73.923706","1295 Broadway, Brooklyn, NY 11221, United States","40.690917, -73.923706","1362 Broadway, Brooklyn, NY 11221","40.68952, -73.922205","1362 Broadway, Brooklyn, NY 11221","40.689520, -73.922205","1336 Broadway, BROOKLYN, NY 11221",,,,
,,,,,,,,,,,,
"3310 Fulton St, Brooklyn, NY 11208, United States","40.683311, -73.873213",,,,,,,,,,,
"2026 Rockaway Pkwy, Brooklyn, NY 11236, United States","40.633128, -73.889150",,,,,,,,,,,
"1 Belmont Ave, Brooklyn, NY 11212, United States","40.668541, -73.910304",,,,,,,,,,,
"56-16 Myrtle Ave, Ridgewood, NY 11385, United States","40.700146, -73.905098",,,,,,,,,,,
,,"301 Knickerbocker Ave, Brooklyn, NY 11237, United States","40.701916, -73.923294", ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Manhattan,,,,,,,,,,,,
,,,,,,,,,,,,
Staten Island ,,,,,,,,,,,,
"1541 Forest Ave, Staten Island, NY 10302, United States","40.625780, -74.138576",,,,,,,,,,,
"1010 Staten Island Mall Phase I, Staten Island, NY 10314, United States","40.578879, -74.165011","965 Richmond Ave Suite G, Staten Island, NY 10314, United States","40.623466, -74.148140", ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"230 Bay St, Staten Island, NY 10301, United States","40.636368, -74.076530", ,,,,,,,,
,,"1230 Castleton Ave, Staten Island, NY 10310, United States","40.633648, -74.123482", ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Paterson ,,,,,,,,,,,,
"175 Main St, Paterson, NJ 07505, United States","40.918194, -74.172846","239 Market St, Paterson, NJ 07505, United States","40.915807, -74.168036", ,,,,,,,,
,,"174 Market St, Paterson, NJ 07505, United States","40.916054, -74.170882", ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Jersey City ,,,,,,,,,,,,
"2865 John F. Kennedy Blvd, Jersey City, NJ 07306, United States","40.731713, -74.065326",,,,,,,,,,,
"367 Central Ave, Jersey City, NJ 07307, United States","40.747744, -74.048256",,,,,,,,,,,
"701 NJ-440, Jersey City, NJ 07304, United States","40.721252, -74.095265",,,,,,,,,,,
,,"1347 John F. Kennedy Blvd, Bayonne, NJ 07002, United States","40.693595, -74.103624",  ,,,,,,,,
,,"2833 John F. Kennedy Blvd, North Bergen, NJ 07047, United States",,  ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Newark ,,,,,,,,,,,,
"153 Market St, Newark, NJ 07102, United States","40.735996, -74.172983","15 Branford Pl A, Newark, NJ 07102, United States","40.735065, -74.173396",  ,,,,,,,,
"125 Avon Ave, Newark, NJ 07108, United States","40.724954, -74.193982",,,,,,,,,,,
,,"467 Lyons Ave, Newark, NJ 07112, United States","40.714996, -74.222977",  ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Elizabeth ,,,,,,,,,,,,
"46 Broad St, Elizabeth, NJ 07201, United States","40.663805, -74.215115","1085 Elizabeth Ave, Elizabeth, NJ 07201, United States","40.661958, -74.210569",  ,,,,,,,,
"1000 S Elmora Ave, Elizabeth, NJ 07202, United States","40.652461, -74.224749",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Trenton ,,,,,,,,,,,,
"109 E State St, Trenton, NJ 08608, United States","40.219887, -74.763533",,,,,,,,,,,
"1700 Nottingham Way, Trenton, NJ 08619, United States","40.232998, -74.716100",,,,,,,,,,,
"1548 N Olden Ave, Ewing Township, NJ 08638, United States","40.241894, -74.754128",,,,,,,,,,,
"2465 S Broad St, Hamilton Township, NJ 08610, United States","40.192094, -74.721097",,,,,,,,,,,
,,"410 Lalor St B2, Trenton, NJ 08611, United States","40.199096, -74.751892",  ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Camdem,,,,,,,,,,,,
"2515 Federal St, Camden, NJ 08105, United States","39.946342, -75.089118",,,,,,,,,,,
,,"2881 Mt Ephraim Ave #3, Camden, NJ 08104, United States","39.908868, -75.099319",  ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bayonne,,,,,,,,,,,,
"494 Broadway, Bayonne, NJ 07002, United States","40.663780, -74.118022","1347 John F. Kennedy Blvd, Bayonne, NJ 07002, United States","40.693596, -74.103622",  ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Edison,,,,,,,,,,,,
"4979 Stelton Rd, South Plainfield, NJ 07080, United States","40.548906, -74.429917",,,,,,,,,,,
"119 E Front St, Plainfield, NJ 07060, United States","40.619104, -74.423863","132 E Front St, Plainfield, NJ 07060, United States","40.619020, -74.422716",  ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bridgeton NJ,,,,,,,,,,,,
"31 E Broad St, Bridgeton, NJ 08302, United States","39.427307, -75.232482","31 E Broad St, Bridgeton, NJ 08302, United States","39.427307, -75.232482",  ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cinnaminson,,,,,,,,,,,,
