Rainbow,"lat,long",Rent a center ,Cricket ,Total wireless,Metro PCs ,BOOST ,
"1110 Eastern Pkwy, Brooklyn, NY 11213, United States","40.668373, -73.931625","198 Utica Ave, Brooklyn, NY 11213, United States", ,"271 Utica Ave, Brooklyn, NY 11213","293 Utica Ave, BROOKLYN, NY 11213","235 Utica Ave # 4, Brooklyn, NY 11213",
,,,,,"204 Utica Ave, BROOKLYN, NY 11213","303 Utica Ave, Brooklyn, NY 11213",
,,,,,"1708 Atlantic Ave, BROOKLYN, NY 11213",,
,,,,,,,
"5100 Kings Plz, Brooklyn, NY 11234, United States","40.610439, -73.921066",,,,,,
"859 Utica Ave, Brooklyn, NY 11203, United States","40.652363,-73.930092",,,,,,
,,,,,,,
"1013 Flatbush Ave, Brooklyn, NY 11226, United States","40.646263, -73.957655","1019 Flatbush Ave, Brooklyn, NY 11226, United States","3101 Church Ave, Brooklyn, NY 11226","939 Flatbush Ave, Brooklyn, NY 11226","2018 Church Ave, BROOKLYN, NY 11226","3011 Church Ave, Brooklyn, NY 11226",
,,,"1066 Flatbush Ave, Brooklyn, NY 11226","739 Flatbush Ave, Brooklyn, NY 11226","755 Flatbush Ave, BROOKLYN, NY 11226","730 Flatbush Ave, A, Brooklyn, NY 11226",
,,,"501 Nostrand Ave, Brooklyn, NY 11216","1911 Nostrand Ave, Brooklyn, NY 11226","3015 Church Ave, BROOKLYN, NY 11226", ,
,,,,,"1069 Flatbush Ave, BROOKLYN, NY 11226", ,
,,,,,"1678 Nostrand Ave, BROOKLYN, NY 11226", ,
,,,,,"1272 Flatbush Ave, BROOKLYN, NY 11226", ,
,,,,,"1916 Nostrand Ave, BROOKLYN, NY 11226", ,
,,,,,"45 Newkirk Plz, BROOKLYN, NY 11226",,
,,,,,,,
"1621 Broadway, Brooklyn, NY 11207, United States","40.685341, -73.914136",,,,,,
"1220 Fulton St, Brooklyn, NY 11216, United States","40.680399,-73.951830",,,,,,
,,,,,,,
"773 Broadway, Brooklyn, NY 11206, United States","40.699919, -73.940409","100 Manhattan Ave, Brooklyn, NY 11206, United States","61 Graham Ave, Brooklyn, NY 11206","64 Graham Ave, Brooklyn, NY 11206","97 Graham Ave, BROOKLYN, NY 11206","805 Broadway, Brooklyn, NY 11206",
,,,,"917 Broadway, Brooklyn, NY 11206","33 Graham Ave, BROOKLYN, NY 11206",,
,,,,,"269 Graham Ave, BROOKLYN, NY 11206",,
,,,,,"769 Broadway, Williamsburg, NY 11206",,
,,,,,,,
"1512 Flatbush Ave, Brooklyn, NY 11210, United States","40.633785, -73.949142",,,,,,
"2125 86th St, Brooklyn, NY 11214, United States","40.603134,  -73.994972",,,,,,
"1551 Pitkin Ave, Brooklyn, NY 11212, United States","40.669095, -73.916195",,,,,,
,,,,,,,
"1295 Broadway, Brooklyn, NY 11221, United States","40.690917, -73.923706","1295 Broadway, Brooklyn, NY 11221, United States","1362 Broadway, Brooklyn, NY 11221","1362 Broadway, Brooklyn, NY 11221","1336 Broadway, BROOKLYN, NY 11221",,
,,,,,,,
"3310 Fulton St, Brooklyn, NY 11208, United States","40.683311, -73.873213",,,,,,
"2026 Rockaway Pkwy, Brooklyn, NY 11236, United States","40.633128, -73.889150",,,,,,
"1 Belmont Ave, Brooklyn, NY 11212, United States","40.668541, -73.910304",,,,,,
"56-16 Myrtle Ave, Ridgewood, NY 11385, United States","40.700146, -73.905098",,,,,,
,,"301 Knickerbocker Ave, Brooklyn, NY 11237, United States", ,,,,
,,,,,,,
,,,,,,,
Manhattan,,,,,,,
,,,,,,,
Staten Island ,,,,,,,
"1541 Forest Ave, Staten Island, NY 10302, United States","40.625780, -74.138576",,,,,,
"1010 Staten Island Mall Phase I, Staten Island, NY 10314, United States","40.578879, -74.165011","965 Richmond Ave Suite G, Staten Island, NY 10314, United States", ,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,"230 Bay St, Staten Island, NY 10301, United States", ,,,,
,,"1230 Castleton Ave, Staten Island, NY 10310, United States", ,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Paterson ,,,,,,,
"175 Main St, Paterson, NJ 07505, United States","40.918194, -74.172846","239 Market St, Paterson, NJ 07505, United States", ,,,,
,,"174 Market St, Paterson, NJ 07505, United States", ,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Jersey City ,,,,,,,
"2865 John F. Kennedy Blvd, Jersey City, NJ 07306, United States","40.731713, -74.065326",,,,,,
"367 Central Ave, Jersey City, NJ 07307, United States","40.747744, -74.048256",,,,,,
"701 NJ-440, Jersey City, NJ 07304, United States","40.721252, -74.095265",,,,,,
,,"1347 John F. Kennedy Blvd, Bayonne, NJ 07002, United States",  ,,,,
,,"2833 John F. Kennedy Blvd, North Bergen, NJ 07047, United States",  ,,,,
,,,,,,,
,,,,,,,
Newark ,,,,,,,
"153 Market St, Newark, NJ 07102, United States","40.735996, -74.172983","15 Branford Pl A, Newark, NJ 07102, United States",  ,,,,
"125 Avon Ave, Newark, NJ 07108, United States","40.724954, -74.193982",,,,,,
,,"467 Lyons Ave, Newark, NJ 07112, United States",  ,,,,
,,,,,,,
,,,,,,,
Elizabeth ,,,,,,,
"46 Broad St, Elizabeth, NJ 07201, United States","40.663805, -74.215115","1085 Elizabeth Ave, Elizabeth, NJ 07201, United States",  ,,,,
"1000 S Elmora Ave, Elizabeth, NJ 07202, United States","40.652461, -74.224749",,,,,,
,,,,,,,
,,,,,,,
Trenton ,,,,,,,
"109 E State St, Trenton, NJ 08608, United States","40.219887, -74.763533",,,,,,
"1700 Nottingham Way, Trenton, NJ 08619, United States","40.232998, -74.716100",,,,,,
"1548 N Olden Ave, Ewing Township, NJ 08638, United States","40.241894, -74.754128",,,,,,
"2465 S Broad St, Hamilton Township, NJ 08610, United States","40.192094, -74.721097",,,,,,
,,"410 Lalor St B2, Trenton, NJ 08611, United States",  ,,,,
,,,,,,,
,,,,,,,
Camdem,,,,,,,
"2515 Federal St, Camden, NJ 08105, United States","39.946342, -75.089118",,,,,,
,,"2881 Mt Ephraim Ave #3, Camden, NJ 08104, United States",  ,,,,
,,,,,,,
,,,,,,,
Bayonne,,,,,,,
"494 Broadway, Bayonne, NJ 07002, United States","40.663780, -74.118022","1347 John F. Kennedy Blvd, Bayonne, NJ 07002, United States",  ,,,,
,,,,,,,
,,,,,,,
Edison,,,,,,,
"4979 Stelton Rd, South Plainfield, NJ 07080, United States","40.548906, -74.429917",,,,,,
"119 E Front St, Plainfield, NJ 07060, United States","40.619104, -74.423863","132 E Front St, Plainfield, NJ 07060, United States",  ,,,,
,,,,,,,
,,,,,,,
Bridgeton NJ,,,,,,,
"31 E Broad St, Bridgeton, NJ 08302, United States","39.427307, -75.232482","31 E Broad St, Bridgeton, NJ 08302, United States",  ,,,,
,,,,,,,
,,,,,,,
Cinnaminson,,,,,,,
"155 US-130, Cinnaminson, NJ 08077, United States","39.988872, -75.008526",,,,,,
,,,,,,,
,,,,,,,
Burlington,,,,,,,
"2108 Mt Holly Rd, Burlington, NJ 08016, United States","40.049434, -74.839376","2516 Burlington-Mount Holly Rd, Burlington Township, NJ 08016, United States",  ,,,,
,,,,,,,
,,,,,,,
Audborn,,,,,,,
"130 Black Horse Pike, Audubon, NJ 08106, United States","39.891963, -75.084598","130 Black Horse Pike, Audubon, NJ 08106, United States",  ,,,,
,,,,,,,
,,,,,,,
Atlantic City,,,,,,,
"1424 Atlantic Ave, Atlantic City, NJ 08401, United States","39.361698, -74.428745","1328 Atlantic Ave, Atlantic City, NJ 08401, United States",  ,,,,
,,,,,,,
,,,,,,,
Hackensack,,,,,,,
"202 Main St, Hackensack, NJ 07601, United States","40.871132, -74.045914",,,,,,
,,,,,,,
,,,,,,,
Perth Amboy,,,,,,,
"125 Smith St, Perth Amboy, NJ 08861, United States","40.508601, -74.268256","365 Convery Blvd, Perth Amboy, NJ 08861, United States",  ,,,,
,,,,,,,
,,,,,,,
Passaic,,,,,,,
"656 Main Ave, Passaic, NJ 07055, United States","40.860925, -74.125432","695 Main Ave, Passaic, NJ 07055, United States", ,,,,
,,,,,,,
,,,,,,,
Hawthorne,,,,,,,
"111 Wagaraw Rd, Hawthorne, NJ 07506, United States","40.940183, -74.161895",,,,,,
,,,,,,,
,,,,,,,
Lodi,,,,,,,
"25 Washington St, Lodi, NJ 07644, United States","40.875536, -74.084885",,,,,,
,,,,,,,
,,,,,,,
Pleasantville ,,,,,,,
"742 Black Horse Pike, Pleasantville, NJ 08232, United States","39.394051, -74.539292",,,,,,
,,"6716 Black Horse Pike #5, Egg Harbor Township, NJ 08234, United States",  ,,,,
,,,,,,,
,,,,,,,
East Orange,,,,,,,
"275 Main St, City of Orange, NJ 07050, United States","40.771959, -74.228931","349 Main St, City of Orange, NJ 07050, United States",  ,,,,
,,,  ,,,,
,,"8 Bloomfield Ave, Bloomfield, NJ 07003, United States",  ,,,,
,,,,,,,
,,,,,,,
Neptune City,,,,,,,
"116 3rd Ave, Neptune City, NJ 07753, United States","40.201753, -74.028553","2040 NJ-33 #9, Neptune City, NJ 07753, United States",  ,,,,
,,,,,,,
,,,,,,,
Union City,,,,,,,
"3600 Bergenline Ave, Union City, NJ 07087, United States","40.774235, -74.027495","3510 Bergenline Ave, Union City, NJ 07087, United States",  ,,,,
,,,,,,,
,,,,,,,
Irvington City,,,,,,,
"1027 Springfield Ave, Irvington, NJ 07111, United States","40.726055, -74.230107","2 Union Pl, Irvington, NJ 07111, United States",  ,,,,
,,,,,,,
,,,,,,,
Toms River,,,,,,,
"1 NJ-37, Toms River, NJ 08753, United States","39.950942, -74.147912","1214 NJ-37 E 1 3, Toms River, NJ 08753, United States",  ,,,,
,,,,,,,
,,,,,,,
Vineland,,,,,,,
"20 W Park Ave, Vineland, NJ 08360, United States","39.493786, -75.040543","2321 S Delsea Dr, Vineland, NJ 08360, United States",  ,,,,
"3849 S Delsea Dr, Vineland, NJ 08360, United States","39.432518,-75.036200","139 N Delsea Dr E, Vineland, NJ 08360, United States",  ,,,,
,,,,,,,
,,,,,,,
Deptford,,,,,,,
"1750 Deptford Center Rd, Deptford, NJ 08096, United States","39.831459, -75.097672",,,,,,
,,,,,,,
,,,,,,,
Woodland Park,,,,,,,
"1650 US-46, Woodland Park, NJ 07424, United States","40.875980, -74.201465",,,,,,
,,,,,,,
,,,,,,,
Bloomfield,,,,,,,
"12 Franklin St, Bloomfield, NJ 07003, United States","40.783569, -74.183388","8 Bloomfield Ave, Bloomfield, NJ 07003, United States", ,,,,
"10 Franklin St, Bloomfield, NJ 07003, United States","40.782688, -74.182579",,,,,,
,,,,,,,
,,,,,,,
Clementon,,,,,,,
"1468 Blackwood-Clementon Rd, Clementon, NJ 08021, United States","39.803284, -75.040895","1468 Blackwood-Clementon Rd, Clementon, NJ 08021, United States", ,,,,
,,,,,,,
,,"30 Berlin Rd, Clementon, NJ 08021, United States", ,,,,
